Timestamp,Hour,Day_of_Week,Month,Crime_Type,District,Crime_Type_Encoded,District_Encoded,Latitude,Longitude,Victim_Age,CRI_Score,Is_High_Risk
2025-11-09 18:00:00,18,6,11,ASSAULT,BAGALKOT,0,1,16.178283693333576,75.69433765538912,62,8.0,0
2025-03-01 15:00:00,15,5,3,BURGLARY,CHENNAI,1,2,13.07848392556293,80.27564152038451,72,6.0,0
2026-01-01 00:00:00,0,3,1,ASSAULT,BAGALKOT,0,1,16.183689180100686,75.6977843688681,58,10.8,1
2026-01-01 00:00:00,0,3,1,ROBBERY,MUMBAI,8,6,19.075689534919615,72.88000743586605,63,9.450000000000001,1
2026-01-01 00:00:00,0,3,1,HOMICIDE,CHENNAI,4,2,13.08128498495015,80.27338285491307,39,13.5,1
2025-07-04 23:00:00,23,4,7,PUBLIC INTOXICATION,MUMBAI,7,6,19.073187959510413,72.87440282712723,72,2.7,0
2025-06-03 10:00:00,10,1,6,ASSAULT,MUMBAI,0,6,19.07587563646709,72.87881638437271,25,8.0,0
2025-01-06 17:00:00,17,0,1,PUBLIC INTOXICATION,PUNE,7,7,18.518172534109446,73.85920708024987,57,2.0,0
2026-01-01 00:00:00,0,3,1,BURGLARY,AHMEDABAD,1,0,23.025694964419472,72.5681068516778,36,8.100000000000001,0
2026-01-01 00:00:00,0,3,1,CYBERCRIME,MUMBAI,2,6,19.078256912909428,72.87508307933689,43,9.450000000000001,1
2025-07-01 06:00:00,6,1,7,HOMICIDE,AHMEDABAD,4,0,23.02483422895233,72.57532089841808,59,10.0,1
2026-01-01 00:00:00,0,3,1,HOMICIDE,LUDHIANA,4,5,30.901351210070583,75.85563463467678,22,13.5,1
2026-01-01 00:00:00,0,3,1,IDENTITY THEFT,PUNE,5,7,18.51683514529135,73.85212213177888,30,9.450000000000001,1
2026-01-01 00:00:00,0,3,1,ROBBERY,PUNE,8,7,18.516820687987334,73.85834437565236,68,9.450000000000001,1
2025-07-03 16:00:00,16,3,7,TRAFFIC VIOLATION,HASSAN,10,4,13.00721368245834,76.10090246228911,64,3.0,0
2025-12-09 05:00:00,5,1,12,KIDNAPPING,AHMEDABAD,6,0,23.02629535803196,72.5698515408041,70,9.0,1
2025-07-05 20:00:00,20,5,7,PUBLIC INTOXICATION,LUDHIANA,7,5,30.90155377328281,75.85654516934382,62,2.0,0
2025-06-07 09:00:00,9,5,6,THEFT,HASSAN,9,4,13.008308088285458,76.10101898596676,58,4.0,0
2026-01-01 00:00:00,0,3,1,ASSAULT,MUMBAI,0,6,19.07376906367607,72.87271306068581,47,10.8,1
2025-08-01 13:00:00,13,4,8,ROBBERY,MUMBAI,8,6,19.07771670557751,72.88126346998028,55,7.0,0
2026-01-01 00:00:00,0,3,1,BURGLARY,MUMBAI,1,6,19.073281496708695,72.87784496413414,74,8.100000000000001,0
2026-01-01 00:00:00,0,3,1,PUBLIC INTOXICATION,MUMBAI,7,6,19.079917141595796,72.87729095906236,73,2.7,0
2025-03-12 06:00:00,6,2,3,HOMICIDE,BAGALKOT,4,1,16.177616048868472,75.70027714941008,34,10.0,1
2026-01-01 00:00:00,0,3,1,PUBLIC INTOXICATION,LUDHIANA,7,5,30.903199456595903,75.86199772717147,39,2.7,0
2026-01-01 00:00:00,0,3,1,BURGLARY,HASSAN,1,4,13.005423746070061,76.10447871774706,27,8.100000000000001,0
2026-01-01 00:00:00,0,3,1,ASSAULT,PUNE,0,7,18.524795576852007,73.85908579608169,37,10.8,1
2026-02-01 04:00:00,4,6,2,ROBBERY,BAGALKOT,8,1,16.179601152829363,75.69969316195937,56,9.450000000000001,1
